Variable,N,Mean,Std,Min,25%,Median,75%,Max,First quarter
GDP growth,177,2.7937853107344632,4.218279461194758,-28.0,1.6,3.0,4.1,34.9,1982Q1
Term spread (10Y-2Y),177,0.938587570621469,0.8622359506639468,-1.06,0.2599999999999998,0.8600000000000001,1.58,2.82,1982Q1
Federal funds rate,177,4.17683615819209,3.5531989654079417,0.04,1.05,4.09,6.17,16.8,1982Q1
Credit spread (Baa-Aaa),177,1.0202824858757062,0.41715545033995516,0.5499999999999998,0.7299999999999995,0.91,1.1799999999999995,3.38,1982Q1
S&P 500 return,176,2.6555689984813013,7.924789984777218,-23.226544405434435,-0.953668197757715,3.6972465125296727,7.776064249152897,20.86704837369615,1982Q2
Initial claims (4-wk MA),177,369228.81355932204,201039.97875324968,197500.0,294000.0,340250.0,395500.0,2335250.0,1982Q1
ISM Manufacturing PMI,177,52.255932203389825,5.352514421441678,34.5,49.0,52.4,55.7,69.9,1982Q1
Lagged GDP growth,176,2.7982954545454546,4.22988651562485,-28.0,1.6,3.0,4.125,34.9,1982Q2
Shannon entropy (A),177,1.980007721515154,0.16592219383204349,1.49750205868583,1.9578764732775549,2.071424278106264,2.077381288181612,2.0794106409986486,1982Q1
Shannon entropy (B),177,1.7206706798264682,0.1472095061277919,1.005974684542791,1.64747282485409,1.758737945836864,1.823589634666755,1.9210744728695703,1982Q1
Tsallis q=0.5 (A),177,3.498359221701569,0.2721657901255388,2.6688738879095144,3.482948268666659,3.645427881802756,3.653928126232806,3.656810544925289,1982Q1
Tsallis q=0.5 (B),177,2.9477978822349047,0.23778637876250594,1.9898765978752675,2.833207610121481,3.0201584607113174,3.1228979644908383,3.259119507683952,1982Q1
Tsallis q=1.5 (A),177,1.2422995039304647,0.08380705250970828,0.9974878984679832,1.2299678050303848,1.2886699213158217,1.291804971655079,1.2928768328035125,1982Q1
Tsallis q=1.5 (B),177,1.1218654308431377,0.08541516257569064,0.6309810433463414,1.0927919310601006,1.1409978930188651,1.1781050305733327,1.2297410549418126,1982Q1
Tsallis q=2.0 (A),177,0.8507675642824837,0.040442611092856226,0.7311117494972709,0.8454675988042276,0.8730204417889174,0.8744889081738854,0.8749922762444754,1982Q1
Tsallis q=2.0 (B),177,0.7944002949819602,0.050310504693316375,0.4608000000000013,0.7855366941015087,0.806473829201102,0.8243480166557089,0.8497704197115695,1982Q1
Entropy momentum (A),176,-7.560261011154499e-06,0.04521277463784217,-0.2046443431917504,-0.0025237956762202973,9.00457182511083e-05,0.004412975419705867,0.21554744505900603,1982Q2
Entropy momentum (B),176,0.0008197097376696986,0.13300421486593686,-0.5239682045839207,-0.04026683919439744,-0.002751039727747373,0.05240258034715373,0.45559387252549866,1982Q2
Entropy acceleration (A),175,5.143224479710844e-06,0.05601340434705327,-0.17050265494038852,-0.0073824166553612125,-0.0010756259479132169,0.0031831847046179806,0.31415100252165784,1982Q3
Entropy acceleration (B),175,-0.0006363149344795893,0.21373162805946053,-0.5494655641056192,-0.08608777956535774,-0.01284545565491646,0.07476667805103776,0.9720973168073059,1982Q3
Entropy z-score (A),157,-0.3175999227470414,2.119632808171951,-11.568691883820215,-1.4328207586332982,0.4069901929786261,1.0153638382314858,4.018430059727297,1987Q1
Entropy z-score (B),157,-0.09801076912223859,1.5093259171071145,-6.822789516799223,-0.6265842598295686,0.21268711435790363,0.7038086946652804,3.136149960761936,1987Q1
Entropy volatility (A),177,0.009603165870354825,0.017305834145906817,1.8214290269493597e-05,0.00055407319877709,0.0018907553954357875,0.011947904349037478,0.10958083875214954,1982Q1
Entropy volatility (B),177,0.059600899491522925,0.04995192906132181,0.006779859433974411,0.025038238050383896,0.046060371937207835,0.08003954958363496,0.29535714600770163,1982Q1
Short-end entropy (A),177,1.3308701025025858,0.11867641714212968,0.7316258733676928,1.3615461924697807,1.3833074082367802,1.3854587052898928,1.3862766245365665,1982Q1
Short-end entropy (B),177,0.9241157954117454,0.16990047301511588,0.2061920506332418,0.8474312807016827,0.9772300460661987,1.0553272156847697,1.0986122886681096,1982Q1
Long-end entropy (A),177,1.0917052952974797,0.014467268591232726,1.0245353283163552,1.0923735251148619,1.0982283394426522,1.0985184159693413,1.098612107719041,1982Q1
Long-end entropy (B),177,0.6102523988807395,0.14544553018364023,-0.0,0.6045364845808038,0.6693279632926448,0.6886051523183013,0.6931471805599453,1982Q1
Entropy gap (A),177,0.2391648072051061,0.11386057273677704,-0.35705675484651267,0.2741507745524938,0.2857135401331816,0.2873170474035822,0.34515962402191147,1982Q1
Entropy gap (B),177,0.3138633965310057,0.23563632974799786,-0.3561430939855604,0.18450764848657664,0.3289733167597705,0.42503442998909113,1.0763580728762439,1982Q1
